code	creator	created_t	last_modified_t	product_name	quantity	manufacturing_places	stores	countries	ingredients_text
3560070583379	sebleouf	1428330628	1456169344	Carotte, 100 % Pur Jus Pressé	1 L	Laiterie de Varennes (Filiale Laiterie de Saint-Denis-de-l'Hôtel - LSDH) - 6 Rue de la Bordé - 36210 Val-Fouzon,Indre,Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel,Loiret,Centre-Val de Loire,France	Carrefour	France	Jus de carotte, purée de carotte, acidifiant : jus de citron.
3245413865090	xill	1474139477	1484055819	Carottes râpées, Au jus de citron de Sicile*	1 Kg	France	Carrefour	France	Carottes râpées 81%, huile de colza, eau, vinaigre d’alcool, jus de citron de Sicile 1,5% (*à base de concentré), moutarde de Dijon (eau, graines de moutarde, vinaigre d’alcool, sel), sel,  sucre, épaississants : gomme guar et gomme xanthane, ail, poivre. Peut contenir des traces de céréales contenant du gluten, crustacés, oeufs, poissons, soja, lait, fruits à coque, céleri, graines de sésame, mollusques.
3560070709366	mopi1402	1452859309	1452859608	Carrefour Fibra Flakes	500g		Carrefour	France	_Blé_ complet 69%, son de _blé 15%, sucre, sirop de glucose, gluten de _blé_, sel, extrait de malt d'_orge_, émulsifiant: mono-et diglycérides d'acides gras
3560070103355	elodiesebbaski	1340070466	1470060673	Champignons de Paris	3 x [200 g (115 g net égoutté), 212 ml]	Espagne	Carrefour City,Carrefour	France	Champignons de Paris, eau, sel, acidifiant : acide citrique
3245390025968	fnhieu	1344363652	1475582629	Chaource	250 g		Carrefour Market,Carrefour	France	lait de vache thermisé (température inférieure à la pasteurisation) - sel - ferments lactiques - ferments d'affinage - présure animale.
3560070359653	openfoodfacts-contributors	1366372852	1441962976	Chips goût Vinaigre	135 g	France	Carrefour	France	Pommes de terre 59%, huile de tournesol 34%, farine de blé, correcteur d'acidité : acétates de sodium, acidifiants : acide citrique et acide malique, sel, sucre, poudre de vinaigre de malt 0,15%
3560070621316	tacite	1426352145	1452841872	Chips nature (Pauvre en Sel)	125 g	02290 Montigny-Lengrain,Aisne,Picardie,France	Carrefour	France	Pommes de terre 66 %, huile de tournesol 34 %.
3560070860678	t0ch	1473865845	1473866423	Chocolat noir 47% extra fondente	100g	Allemagne	Carrefour	France	Sucre, pâte de cacao, beurre de cacao, beurre concentré, émulsiﬁant : lécithines (soja), arôme. Cacao : 47% minimum.
3560070472949	openfoodfacts-contributors	1368212261	1474041760	Chocolat noir saveur orange	100g	France	Carrefour	France	Pâte de cacao Bio, sucre Bio, beurre de cacao Bio, émulsifiant : lécithine de tournesol, huile essentielle d'orange Bio, extrait de vanille Bio.
3560070770489	miles67off	1385478469	1476960120	Chocolat noir à la menthe Carrefour. 64% cacao	100 g	Chocolaterie de l'Abbaye Suisse Normande,Groupe Cémoi,Tinchebray,Argentan (arrondissement),Orne,Basse-Normandie,France	Carrefour	France,Espagne	Pâte de cacao, sucre, beurre de cacao, arôme naturel de menthe 0,7%, émulsifiant : lécithines (tournesol), arôme naturel de vanille.
3560070677498	phoenix	1393163390	1441257054	Choux de Bruxelles	400 g (265 g net égoutté), 425 ml	59650 Villeneuve-d'Ascq,Nord,Nord-Pas-de-Calais,France	Carrefour	France	Choux de Bruxelles, eau, sel, sucre.
3560070122349	javichu	1380554779	1480084530	Choux fleurs  1 kg	1 Kg	Arguedas, Navarra, España	Carrefour	España, en:france	Coliflor en floretes ultracongelada 100%.  
3560070272600	openfoodfacts-contributors	1429862161	1451000076	Châtaigne	370 g	France	Carrefour	France	Sucre, châtaignes, extrait de vanille
3245414620087	miles67off	1384637893	1451831533	Compote Pommes Poires	710 g	Pays-Bas	Carrefour	France	Purée de pommes 88,5%, purée de poires concentrée 11%, arôme naturel de poire avec autres arômes naturels, antioxydant : acide ascorbique, acidifiant : acide citrique.
3560070702152	sebleouf	1479922798	1480156677	Confiture Mûre	270 g	Espagne	Carrefour	France	Mûres, sucre, sucre de canne, gélifiant : pectines de fruits, acidifiant : acide citrique.
3560070701766	sebleouf	1425139520	1469809266	Confiture de reines-claudes -30 % de sucres	340 g		Carrefour	France	Reines-claudes, sucre, eau, gélifiant : pectines de fruits, acidifiants : acide citrique et lactate de calcium. Préparée avec 50 g de fruits pour 100 g de produit fini.
5400101239050	normann	1443812234	1445782563	Cookies 37% pépites de chocolat	225 g		Carrefour	France	Chocolat noir 25.6% (sucre, pâte de cacao, beurre de cacao, sirop de glucose, émulsifiant : lécithines, (_soja_)), farine de _blé_, sucre, poudre au _lait écrémé_ 11.6% (sucre, beurre de cacao, poudre de _lait_ entier, pâte de cacao, poudre de _lait_écrémé, émulsifiant : lécithines (_soja_) carbonates de sodium et diphosphates, sirop de glucose-fructose, _oeufs_ en poudre, _lactose_, sel, arôme naturel, graisses et huiles végétales (palme, tournesol), farine d'_avoine_, _beurre_, poudre à lait concentré, sel, arôme naturel, colorant : caramel ordinaire
3560070371693	miles67off	1378418777	1460318741	Cookies Choco noisette Cœur Fondant	150 g	Biscuiterie Fouesnantaise (Filiale Groupe Poult) - ZA de Park C'Hastel - 29170 Fouesnant,Finistère,Bretagne,France	Carrefour	France	BISCUIT 74 % : farine de blé, graisse de palme, pépites de chocolat 14,5 %* (sucre, pâte de cacao, beurre de cacao, émulsifiant : lécithine de soja, arôme naturel vanille), sucre, praliné nougatine 8 %* (noisettes, sucre), amidon de blé, œufs frais, poudre à lever : carbonate acide de sodium - diphosphate disodique - carbonate acide d'ammonium, lactosérum en poudre, blanc d'œufs, sel. (* % exprimés sur le biscuit).  FOURRAGE AU CHOCOLAT ET  À LA NOISETTE  26 % : sucre, chocolat en poudre 25 %*(sucre, cacao en poudre), huile de colza, noisettes 10,5 %*, poudre de lait écrémé, graisse de coprah hydrogénée, émulsifiant : lécithine de soja, arômes. (* % exprimés sur le fourrage).
3245412432613	date-limite-app	1454340432	1454525478	Coppa 10 tranches	100 g	France	Carrefour	France	Échine de porc, sel, épices (poivre, muscade), sucre, dextrose, conservateurs : nitrite de sodium et nitrate de potassium, antioxydant : acide ascorbique, ferments (contient _lait_).
3270190021148	openfoodfacts-contributors	1366452196	1475493065	Coulommiers (20 % MG) 	350 g	Société Fromagère de Sainte-Cécile (Filiale Groupe Lactalis) - L'Acherie - 50800 Sainte-Cécile,Manche,Basse-Normandie,Société Fromagère de Retiers (Filiale Groupe Lactalis) - Lieu dit Fromy - 35240 Retiers,Ille-et-Vilaine,Bretagne,France	Carrefour,Carrefour market,Dia	France	_Lait_ pasteurisé de vache, sel, _ferments lactiques_ et d'affinage, présure ou coagulant microbien.
3245413517517	phoenix	1466149426	1466934994	Couscous	1.5 kg	France	Carrefour	France	Semoule cuite 26% (eau, semoule de _blé_ dur), haut de cuisse et pilori de poulet 18%, eau, carotte 7%, merguez 5% (viande et gras de boeuf, gras de mouton, eau, épices, acidifiant : lactate de sodium, _lactose_, sucre, conservateurs : érythorbate de sodium, nitrite de sodium), navet 4.6%, courgette 4%, agneau 3.3%, poivron 2.8%, _céleri_ 2.3%, huile de tournesol, pois chiche, caramel (sucre, eau), arômes (contient _lactose_, _céleri_), sel, concentré de tomate, arômes naturels, graisse de canard, amidon modifié de pomme de terre, cumin, harissa (piment, ail, coriandre, sel, carvil, ail, colorant : extrait de paprika, raz el hanout (coriandre, curry), cumin, curcuma, girofle, fenouil, fenugrec, ail, piment de Cayenne, poivre, sel, pavot bleu), épaississants : gomme xanthane et gomme guar
3270190008613	stephane	1333050126	1426515623	Couscous grain moyen 500 g	500 g		Carrefour	France	Semoule de blé dur de qualité supérieure.  
3245413674968	tacite	1428133604	1435662714	Crackers allégés, Saveur Crème Oignon	125 g	Allemagne	Carrefour	France	Flocons de pommes de terre 38 %, amidon de pomme de terre, farine de _blé_, huile de tournesol 7,8 %, sucre, sel, _lactosérum_ en poudre, oignon en poudre 0,5 %, arôme, extrait de levure, émulsifiant : lécithines (_soja_) (contient _lait_), persil, ail en poudre, acidifiant : acide lactique, protéines de _lait_.
3560070794744	openfoodfacts-contributors	1460719068	1483461502	Cranberry	1 L	France	Carrefour	France	Eau, jus de cranberry à base de concentré (11%), sucre, jus de sureau à base de concentré (1%), acidifiant : acide citrique, arôme naturel de cranberry avec autres arômes naturels.
3560070556496	phoenix	1424294481	1432063465	Croque Monsieur Jambon Fomage	150 g		Carrefour	France	Pain de mie 45% (Farine de blé, eau, huile de colza, sel, dextrose, levure, CONSERVATEUR : Propionate de calcium, gluten de blé, agent de traitement de la farine : Acide ascorbique), fromage fondu 29% (Fromages 16% (Dont oeufs), eau, beurre, amidon modifié de maïs et de pomme de terre, protéines de lait, lactosérum, sels de fonte : Citrate de sodium, sel, GELIFIANT : Carraghénanes), jambon de porc cuit choix 15% (Jambon de porc 13%, eau, sel, sirop de glucose, arômes, ACIDIFIANT : Citrate de sodium, dextrose, ANTIOXYDANT : Ascorbate de sodium, CONSERVATEURS : Nitrite de sodium), margarine végétale (Huiles végétales de colza, graisses végétales de palme, eau, EMULSIFIANT : Mono et diglycérides d'acides gras, ACIDIFIANT : Acide lactique, CONSERVATEURS : Sorbate de potassium, ANTIOXYDANT : Alpha-Tocophérol, COLORANT : Bêta-Carotène
